"Date","Price","Open","High","Low","Change %"
"Dec 27, 1979","1.5074","1.5074","1.5074","1.5074","0.41%"
"Dec 28, 1979","1.5076","1.5076","1.5076","1.5076","0.01%"
"Dec 31, 1979","1.5081","1.5081","1.5081","1.5081","0.03%"
"Jan 02, 1980","1.5149","1.5149","1.5149","1.5149","0.45%"
"Jan 03, 1980","1.5177","1.5177","1.5177","1.5177","0.18%"
"Jan 04, 1980","1.5129","1.5129","1.5129","1.5129","-0.32%"
"Jan 07, 1980","1.5168","1.5168","1.5168","1.5168","0.26%"
"Jan 08, 1980","1.5108","1.5108","1.5108","1.5108","-0.40%"
"Jan 09, 1980","1.5161","1.5161","1.5161","1.5161","0.35%"
"Jan 10, 1980","1.5133","1.5133","1.5133","1.5133","-0.18%"
"Jan 11, 1980","1.5108","1.5108","1.5108","1.5108","-0.17%"
"Jan 14, 1980","1.5110","1.5110","1.5110","1.5110","0.01%"
"Jan 15, 1980","1.5047","1.5047","1.5047","1.5047","-0.42%"
"Jan 16, 1980","1.5074","1.5074","1.5074","1.5074","0.18%"
"Jan 17, 1980","1.5074","1.5074","1.5074","1.5074","0.00%"
"Jan 18, 1980","1.5083","1.5083","1.5083","1.5083","0.06%"
"Jan 21, 1980","1.5053","1.5053","1.5053","1.5053","-0.20%"
"Jan 22, 1980","1.5006","1.5006","1.5006","1.5006","-0.31%"
"Jan 23, 1980","1.5035","1.5035","1.5035","1.5035","0.19%"
"Jan 24, 1980","1.5026","1.5026","1.5026","1.5026","-0.06%"
"Jan 25, 1980","1.5004","1.5004","1.5004","1.5004","-0.15%"
"Jan 28, 1980","1.4993","1.4993","1.4993","1.4993","-0.07%"
"Jan 29, 1980","1.4979","1.4979","1.4979","1.4979","-0.09%"
"Jan 30, 1980","1.4986","1.4986","1.4986","1.4986","0.05%"
"Jan 31, 1980","1.4945","1.4945","1.4945","1.4945","-0.27%"
"Feb 01, 1980","1.4919","1.4919","1.4919","1.4919","-0.17%"
"Feb 04, 1980","1.4923","1.4923","1.4923","1.4923","0.03%"
"Feb 05, 1980","1.4952","1.4952","1.4952","1.4952","0.19%"
"Feb 06, 1980","1.4993","1.4993","1.4993","1.4993","0.27%"
"Feb 07, 1980","1.4977","1.4977","1.4977","1.4977","-0.11%"
"Feb 08, 1980","1.4948","1.4948","1.4948","1.4948","-0.19%"
"Feb 11, 1980","1.4979","1.4979","1.4979","1.4979","0.21%"
"Feb 12, 1980","1.4966","1.4966","1.4966","1.4966","-0.09%"
"Feb 13, 1980","1.5004","1.5004","1.5004","1.5004","0.25%"
"Feb 14, 1980","1.5011","1.5011","1.5011","1.5011","0.05%"
"Feb 15, 1980","1.4970","1.4970","1.4970","1.4970","-0.27%"
"Feb 18, 1980","1.4957","1.4957","1.4957","1.4957","-0.09%"
"Feb 19, 1980","1.4899","1.4899","1.4899","1.4899","-0.39%"
"Feb 20, 1980","1.4910","1.4910","1.4910","1.4910","0.07%"
"Feb 21, 1980","1.4903","1.4903","1.4903","1.4903","-0.05%"
"Feb 22, 1980","1.4813","1.4813","1.4813","1.4813","-0.60%"
"Feb 25, 1980","1.4791","1.4791","1.4791","1.4791","-0.15%"
"Feb 26, 1980","1.4791","1.4791","1.4791","1.4791","0.00%"
"Feb 27, 1980","1.4782","1.4782","1.4782","1.4782","-0.06%"
"Feb 28, 1980","1.4799","1.4799","1.4799","1.4799","0.12%"
"Feb 29, 1980","1.4689","1.4689","1.4689","1.4689","-0.74%"
"Mar 03, 1980","1.4628","1.4628","1.4628","1.4628","-0.42%"
"Mar 04, 1980","1.4588","1.4588","1.4588","1.4588","-0.27%"
"Mar 05, 1980","1.4596","1.4596","1.4596","1.4596","0.05%"
"Mar 06, 1980","1.4510","1.4510","1.4510","1.4510","-0.59%"
"Mar 07, 1980","1.4507","1.4507","1.4507","1.4507","-0.02%"
"Mar 10, 1980","1.4440","1.4440","1.4440","1.4440","-0.46%"
"Mar 11, 1980","1.4422","1.4422","1.4422","1.4422","-0.12%"
"Mar 12, 1980","1.4436","1.4436","1.4436","1.4436","0.10%"
"Mar 13, 1980","1.4341","1.4341","1.4341","1.4341","-0.66%"
"Mar 14, 1980","1.4219","1.4219","1.4219","1.4219","-0.85%"
"Mar 17, 1980","1.3935","1.3935","1.3935","1.3935","-2.00%"
"Mar 18, 1980","1.3933","1.3933","1.3933","1.3933","-0.01%"
"Mar 19, 1980","1.3959","1.3959","1.3959","1.3959","0.19%"
"Mar 20, 1980","1.4008","1.4008","1.4008","1.4008","0.35%"
"Mar 21, 1980","1.3930","1.3930","1.3930","1.3930","-0.56%"
"Mar 24, 1980","1.3856","1.3856","1.3856","1.3856","-0.53%"
