"Date","Price","Open","High","Low","Change %"
"Jul 16, 2013","1.5161","1.5102","1.5170","1.5044","0.41%"
"Jul 17, 2013","1.5213","1.5160","1.5269","1.5080","0.34%"
"Jul 18, 2013","1.5229","1.5213","1.5244","1.5158","0.11%"
"Jul 19, 2013","1.5268","1.5226","1.5282","1.5197","0.26%"
"Jul 22, 2013","1.5360","1.5265","1.5385","1.5257","0.60%"
"Jul 23, 2013","1.5369","1.5359","1.5393","1.5327","0.06%"
"Jul 24, 2013","1.5316","1.5372","1.5391","1.5290","-0.34%"
"Jul 25, 2013","1.5391","1.5316","1.5434","1.5267","0.49%"
"Jul 26, 2013","1.5381","1.5393","1.5419","1.5356","-0.06%"
"Jul 29, 2013","1.5339","1.5379","1.5415","1.5330","-0.27%"
"Jul 30, 2013","1.5237","1.5339","1.5354","1.5223","-0.66%"
"Jul 31, 2013","1.5208","1.5238","1.5255","1.5127","-0.19%"
"Aug 01, 2013","1.5120","1.5210","1.5244","1.5111","-0.58%"
"Aug 02, 2013","1.5289","1.5121","1.5310","1.5103","1.12%"
"Aug 05, 2013","1.5358","1.5288","1.5379","1.5265","0.45%"
"Aug 06, 2013","1.5348","1.5358","1.5393","1.5331","-0.07%"
"Aug 07, 2013","1.5488","1.5349","1.5532","1.5206","0.91%"
"Aug 08, 2013","1.5539","1.5488","1.5574","1.5484","0.33%"
"Aug 09, 2013","1.5500","1.5538","1.5560","1.5498","-0.25%"
"Aug 12, 2013","1.5463","1.5503","1.5522","1.5457","-0.24%"
"Aug 13, 2013","1.5448","1.5463","1.5509","1.5427","-0.10%"
"Aug 14, 2013","1.5501","1.5450","1.5549","1.5423","0.34%"
"Aug 15, 2013","1.5642","1.5501","1.5652","1.5495","0.91%"
"Aug 16, 2013","1.5629","1.5646","1.5659","1.5608","-0.08%"
"Aug 19, 2013","1.5649","1.5619","1.5675","1.5609","0.13%"
"Aug 20, 2013","1.5667","1.5648","1.5696","1.5627","0.12%"
"Aug 21, 2013","1.5659","1.5667","1.5718","1.5636","-0.05%"
